DevType,Country,OrgSize,YearsCodePro,CompTotal,LanguageHaveWorkedWith,ToolsTechHaveWorkedWith,PlatformHaveWorkedWith,MiscTechHaveWorkedWith
"Developer, mobile",Portugal,"Just me - I am a freelancer, sole proprietor, etc.",10,,C#,Visual Studio Solution,Microsoft Azure,.NET (5+) ;.NET MAUI;Xamarin
"Developer, full-stack",United States of America,10 to 19 employees,14,150000.0,C#;HTML/CSS;JavaScript;SQL,MSBuild;npm;NuGet;Visual Studio Solution;Vite,Amazon Web Services (AWS);Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8)
"Developer, full-stack",Nepal,20 to 99 employees,2,500000.0,HTML/CSS;JavaScript;TypeScript,Docker;Kubernetes;npm;Vite;Yarn,Amazon Web Services (AWS);Cloudflare;Netlify;Vercel,React Native
"Developer, mobile",Ukraine,,Less than 1 year,,C;C#;C++;Delphi;HTML/CSS;JavaScript;Lua;SQL,Unity 3D;Unreal Engine;Visual Studio Solution,Cloudflare;Google Cloud,.NET Framework (1.0 - 4.8);OpenGL;Qt
"Developer, mobile",Ukraine,100 to 499 employees,7,,Groovy;Java;Kotlin;Python,Docker;Gradle,Heroku;Render,Ktor
,Ukraine,,,,C++,Maven (build tool),Microsoft Azure,SwiftUI
"Developer, back-end",Ukraine,"1,000 to 4,999 employees",2,,C#;HTML/CSS;SQL,MSBuild;NuGet,Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI
"Developer, full-stack",Colombia,"10,000 or more employees",14,168000000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,Composer;Docker;npm;pnpm;Webpack;Yarn,"Amazon Web Services (AWS);Cloudflare;Linode, now Akamai",Ionic;React Native
DevOps specialist,Spain,"5,000 to 9,999 employees",5,23000.0,C;Go;Java;JavaScript;PHP,Ansible;Terraform,Vercel;VMware,Apache Kafka
"Developer, back-end",Ukraine,"Just me - I am a freelancer, sole proprietor, etc.",9,,Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;Python;TypeScript,APT;Docker;Make;npm;Pacman;Pip;Unity 3D;Vite,Cloudflare;PythonAnywhere,Electron
"Developer, full-stack",Ukraine,20 to 99 employees,8,,JavaScript;Python;TypeScript,Docker;npm;Vite;Yarn,Google Cloud,
"Developer, back-end",Ukraine,10 to 19 employees,2,720000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;MATLAB;Python;Scala;SQL,Docker;Pip,Amazon Web Services (AWS);Firebase,Keras;NumPy;Pandas;TensorFlow
"Developer, back-end",Germany,500 to 999 employees,4,9300.0,Bash/Shell (all shells);C;Perl;Python,Make;Pip,,NumPy;Pandas;Scikit-Learn;Torch/PyTorch
Student,Ukraine,,,,Bash/Shell (all shells);Groovy;HTML/CSS;Kotlin;SQL,Gradle,,
"Developer, full-stack",Germany,I don’t know,4,,C;C#;C++;MATLAB;Python;SQL,Ansible;Docker;Google Test;Ninja;Pacman;Podman;Unreal Engine,Hetzner,Electron;NumPy;OpenGL;Pandas;Qt;RabbitMQ;Scikit-Learn
"Developer, QA or test",Ukraine,100 to 499 employees,5,4500.0,Java;Kotlin;Swift,Gradle;Maven (build tool),Amazon Web Services (AWS),Spring Framework
"Developer, embedded applications or devices",United Kingdom of Great Britain and Northern Ireland,20 to 99 employees,28,50000.0,C;C++;HTML/CSS;Java;JavaScript;Kotlin,,Amazon Web Services (AWS),
"Developer, full-stack",Mexico,,,,Apex;HTML/CSS;JavaScript;PHP;Python;SQL,Composer;npm;Pip;pnpm,Oracle Cloud Infrastructure (OCI);Vercel,Electron;Ionic
"Developer, back-end",India,"10,000 or more employees",4,1800000.0,Java;Python;SQL,Docker;Homebrew;Kubernetes;Maven (build tool),Amazon Web Services (AWS),Pandas;Quarkus
Other (please specify):,Germany,,,,C;Java;Python,Pip,,CUDA;Keras;NumPy;Pandas;TensorFlow
Product manager,Brazil,2 to 9 employees,13,,C#;JavaScript;R;SQL,npm;NuGet;Visual Studio Solution;Yarn,,.NET (5+) ;.NET Framework (1.0 - 4.8)
Student,Ukraine,,,,C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Homebrew;Pip;Unity 3D;Visual Studio Solution,Amazon Web Services (AWS);Heroku;Microsoft Azure,.NET (5+) 
Other (please specify):,Ukraine,20 to 99 employees,1,360000.0,C#,,,.NET (5+) ;.NET Framework (1.0 - 4.8)
"Developer, front-end",Ukraine,"1,000 to 4,999 employees",4,708000.0,HTML/CSS;JavaScript;Python;TypeScript,npm;pnpm;Vite;Webpack;Yarn,Heroku;Render,NumPy;Pandas
Student,United States of America,,,,Bash/Shell (all shells);JavaScript;Lua;Rust,Godot;Pacman,,
"Developer, embedded applications or devices",Brazil,500 to 999 employees,5,99320.0,Bash/Shell (all shells);C;C++;Python,APT;Docker;Make;Ninja;Pip;Podman,,NumPy
"Developer, back-end",Ukraine,20 to 99 employees,4,,HTML/CSS;Java;JavaScript;PowerShell;SQL,Gradle;Maven (build tool),Amazon Web Services (AWS),Apache Kafka;RabbitMQ;Spring Framework
"Developer, full-stack",Argentina,20 to 99 employees,13,61100.0,Java;JavaScript;TypeScript,Docker;npm;Visual Studio Solution;Vite,Amazon Web Services (AWS),
"Developer, back-end",Germany,10 to 19 employees,15,86000.0,Bash/Shell (all shells);Elixir;Erlang;HTML/CSS;JavaScript;Ruby,,Amazon Web Services (AWS),
"Developer, front-end",Germany,20 to 99 employees,24,80000.0,JavaScript;PHP;TypeScript,Make;npm;Vite;Webpack;Yarn,"Digital Ocean;Firebase;Linode, now Akamai;Netlify",
"Developer, full-stack",United States of America,20 to 99 employees,12,172000.0,Bash/Shell (all shells);Crystal;Go;HTML/CSS;JavaScript;Ruby;Rust;SQL;TypeScript,Docker;Homebrew;Vite;Webpack,Google Cloud,
Project manager,Ukraine,,,,C#;C++;Python,Unity 3D;Unreal Engine,,Apache Spark
"Developer, front-end",Ukraine,100 to 499 employees,6,920000.0,HTML/CSS;JavaScript;PHP,Composer;Docker;npm;Webpack;Yarn,Amazon Web Services (AWS);Cloudflare;Google Cloud,
"Developer, full-stack",Ukraine,"1,000 to 4,999 employees",6,,C#;HTML/CSS;JavaScript;SQL;TypeScript,npm;NuGet,Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8)
"Developer, desktop or enterprise applications",Ukraine,20 to 99 employees,2,,C;C#;C++;HTML/CSS;Python;SQL,Docker;Homebrew;NuGet;Pip;Unity 3D;Visual Studio Solution,Amazon Web Services (AWS);Google Cloud;VMware,.NET (5+) ;NumPy;Pandas
"Developer, front-end",Colombia,500 to 999 employees,8,27888.0,HTML/CSS;JavaScript;Python;TypeScript,Homebrew;Kubernetes;npm;Yarn,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Netlify;Vercel,React Native
"Developer, full-stack",Ukraine,"Just me - I am a freelancer, sole proprietor, etc.",3,,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Lua;Solidity;SQL;TypeScript,Bun;Docker;npm;NuGet;pnpm;Vite;Webpack;Yarn,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Microsoft Azure,Capacitor;GTK;Keras;NumPy
"Developer, game or graphics",Ukraine,,,,C#,Unity 3D,,
"Developer, full-stack",Brazil,"5,000 to 9,999 employees",6,70000.0,Bash/Shell (all shells);C++;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL,APT;Docker;Kubernetes;Make;npm;Pip;Yarn,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Microsoft Azure,NumPy;Pandas;RabbitMQ;React Native;Ruff
Project manager,Ukraine,,,,C#;C++;HTML/CSS,Unity 3D;Unreal Engine,Amazon Web Services (AWS);Cloudflare;Google Cloud,.NET (5+) ;OpenGL
Student,Poland,,,,C++;Python;Rust,,Microsoft Azure,
"Developer, full-stack",Germany,500 to 999 employees,10,78000.0,HTML/CSS;Java;JavaScript;Kotlin;Python;TypeScript,Docker;Maven (build tool);npm;Pip;Webpack,Amazon Web Services (AWS),Spring Framework
"Developer, game or graphics",Ireland,,,,Bash/Shell (all shells);HTML/CSS;JavaScript;Python,Pip,,
Data or business analyst,Saudi Arabia,,,,Ada;Apex;C++;Clojure;Crystal;F#;Fortran;Go;Groovy;Java;JavaScript;Julia;Kotlin;Lua;MATLAB;MicroPython;Nim;OCaml;Perl;PHP;Prolog;R;Rust;Scala;Solidity;SQL;Swift;TypeScript;Zephyr;Zig,Ansible;APT;Bun;Chef;Chocolatey;Composer;Dagger;Docker;Godot;Puppet;Terraform;Unity 3D;Unreal Engine;Visual Studio Solution;Vite;Webpack,"Alibaba Cloud;Amazon Web Services (AWS);Colocation;Firebase;Fly.io;IBM Cloud Or Watson;Linode, now Akamai;Managed Hosting;Microsoft Azure;Netlify;OpenShift;OpenStack;PythonAnywhere;Render;Scaleway;Supabase;Vercel;VMware;Vultr",.NET (5+) ;.NET Framework (1.0 - 4.8);Capacitor;Cordova;CUDA;DirectX;Flutter;GTK;Hadoop;JAX;Keras;Ktor;MFC;mlflow;NumPy;Opencv;Pandas;Qt;Quarkus;RabbitMQ;React Native;Roslyn;Ruff;Scikit-Learn;Spring Framework;SwiftUI;Tauri;TensorFlow;Tidyverse
"Developer, back-end",Israel,500 to 999 employees,6,150000.0,Bash/Shell (all shells);Go;Groovy;Java;JavaScript;Kotlin;Scala;SQL,Ansible;Docker;Kubernetes;Maven (build tool);npm;Podman;Webpack,Amazon Web Services (AWS);OpenShift;VMware,Apache Kafka;Keras;NumPy;Spring Framework
DevOps specialist,Poland,"1,000 to 4,999 employees",9,400000.0,Bash/Shell (all shells);Python;SQL,APT;Docker;Homebrew;Make;Pip;Podman;Terraform,Amazon Web Services (AWS),
Other (please specify):,United States of America,20 to 99 employees,30,,Assembly;Bash/Shell (all shells);C;C#;C++;F#;HTML/CSS;Java;JavaScript;Lisp;PHP;Python;R;Ruby;SQL;TypeScript;VBA;Visual Basic (.Net),Ansible;Chocolatey;Docker;Homebrew;MSBuild;Vite;Webpack;Yarn,Amazon Web Services (AWS);Digital Ocean;Microsoft Azure;VMware,.NET (5+) ;.NET Framework (1.0 - 4.8);CUDA;Hadoop;Hugging Face Transformers;MFC;NumPy;Pandas;RabbitMQ;Roslyn;Spring Framework;TensorFlow;Torch/PyTorch
Student,Ukraine,,,,C#;C++;Java;Python,APT;Make;Pacman;Pip,,
Student,Poland,,,,Bash/Shell (all shells);Go;Python,Chocolatey;Pip,,CUDA;Qt
"Developer, AI",United States of America,2 to 9 employees,3,120000.0,JavaScript;Python;Swift;TypeScript,Bun;Chocolatey;Homebrew;npm;Pip;Terraform;Vite;Webpack;Yarn,Amazon Web Services (AWS);Fly.io;Microsoft Azure;Vercel,Electron;Hugging Face Transformers;NumPy;Pandas;RabbitMQ;SwiftUI;Torch/PyTorch
"Developer, full-stack","Iran, Islamic Republic of...",500 to 999 employees,3,,C;C#;C++;Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;Rust;TypeScript,APT;Composer;Docker;Gradle;Homebrew;Make;Maven (build tool);MSBuild;Ninja;npm;NuGet;Pip;Vite;Webpack,,.NET (5+) ;.NET Framework (1.0 - 4.8);Electron;Flutter;GTK;Ktor;MFC;Qt
"Developer, full-stack",Ukraine,20 to 99 employees,3,50000.0,C#;HTML/CSS;JavaScript;PHP,MSBuild;npm;NuGet;Visual Studio Solution,Cloudflare;Digital Ocean;Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI
"Developer, front-end",Germany,"5,000 to 9,999 employees",1,,HTML/CSS;Java;JavaScript;TypeScript,Docker;npm,,
System administrator,Argentina,,,,C;Cobol;Java,Composer,VMware,
"Developer, full-stack",United States of America,,2,,Assembly;Bash/Shell (all shells);C;Go;HTML/CSS;Java;JavaScript;Perl;Python;Rust,APT;Docker;Homebrew;Make;npm;Pip;Vite,"Linode, now Akamai",NumPy
"Developer, full-stack",Netherlands,"10,000 or more employees",7,75000.0,HTML/CSS;Java;JavaScript;Python;TypeScript,Docker;Kubernetes;Maven (build tool);npm;pnpm;Vite;Yarn,Amazon Web Services (AWS),Spring Framework
"Developer, desktop or enterprise applications",Netherlands,"10,000 or more employees",11,100000.0,Bash/Shell (all shells);C;C++;JavaScript;Perl;PHP;Python;SQL;TypeScript,APT;Composer;Docker;Gradle;Kubernetes;Make;Ninja;npm;Pip;Puppet;Terraform,,GTK;NumPy;RabbitMQ
"Developer, embedded applications or devices",United Kingdom of Great Britain and Northern Ireland,"10,000 or more employees",11,200000.0,C++;Java;Rust,Google Test;Make,,
"Developer, front-end",Ukraine,"10,000 or more employees",9,56400.0,Dart;HTML/CSS;JavaScript;TypeScript,npm;Vite;Webpack;Yarn,Amazon Web Services (AWS);Firebase,Flutter;React Native
"Developer, front-end",Ukraine,100 to 499 employees,6,2709393.0,HTML/CSS;JavaScript;TypeScript,npm;Webpack,,
"Developer, full-stack","Iran, Islamic Republic of...",,8,,Bash/Shell (all shells);C;HTML/CSS;JavaScript;Python;SQL;TypeScript,Docker;npm;Pip,Amazon Web Services (AWS);Cloudflare,NumPy
"Developer, mobile",Ukraine,"1,000 to 4,999 employees",14,50000.0,C++;Java;JavaScript;Python;Swift;TypeScript,Gradle;npm;Webpack;Yarn,Cloudflare,Capacitor;Cordova;Ionic;OpenGL
Other (please specify):,Canada,2 to 9 employees,5,60000.0,Bash/Shell (all shells);C++;HTML/CSS;PHP;PowerShell,APT;Composer;Homebrew;Make;MSBuild;NuGet;Pip;Visual Studio Solution;Yarn,,.NET (5+) ;.NET Framework (1.0 - 4.8);Electron;OpenCL;OpenGL;Qt
"Developer, full-stack",Sweden,100 to 499 employees,21,910000.0,Elixir;JavaScript;SQL;TypeScript,Docker;Homebrew;npm;Vite,Fly.io,
"Developer, mobile",Ukraine,2 to 9 employees,7,45600.0,Kotlin,Gradle,Hetzner,
"Developer, back-end",Ukraine,,11,,HTML/CSS;JavaScript;Ruby,Docker;Homebrew;npm;Vite;Webpack;Yarn,Heroku,
Security professional,Ukraine,,7,,C;C#;C++;HTML/CSS;JavaScript;Objective-C;Python;Ruby;SQL,Unity 3D,OpenStack,
Student,India,10 to 19 employees,Less than 1 year,,Assembly;Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;Java;JavaScript;Lua;PowerShell;Python;Rust;SQL;TypeScript;Visual Basic (.Net),APT;Chocolatey;Docker;Make;Ninja;npm;NuGet;Pacman;Pip;Yarn,Google Cloud;Heroku;Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8);CUDA;Keras;NumPy;Opencv;Pandas;Qt;React Native;Ruff;Scikit-Learn;Tauri;TensorFlow;Torch/PyTorch
"Developer, full-stack",United States of America,500 to 999 employees,5,136000.0,Go;HTML/CSS;JavaScript;Kotlin;Objective-C;Python;Rust;SQL;TypeScript,Docker;Homebrew;npm;pnpm;Webpack,Amazon Web Services (AWS);Cloudflare;Fly.io;Google Cloud;Vercel,Electron
"Developer, full-stack",India,"1,000 to 4,999 employees",16,,C#;HTML/CSS;JavaScript;TypeScript;Visual Basic (.Net),Docker;Kubernetes;MSBuild;npm;NuGet;Webpack,Cloudflare;Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8)
Student,Denmark,,,,Dart;Kotlin;Python,Gradle,Firebase,Flutter
"Developer, back-end",Ukraine,,,,HTML/CSS;JavaScript;PHP;SQL,Composer;Docker;npm,,
Data engineer,Brazil,10 to 19 employees,2,78000.0,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;Python;R;SQL;VBA,Docker,Databricks;Microsoft Azure;VMware,Apache Spark;CUDA;Hadoop;NumPy;OpenGL;Pandas;Qt;Scikit-Learn;TensorFlow
"Developer, full-stack",Ukraine,20 to 99 employees,7,187200.0,C#;Crystal;Go;Groovy;HTML/CSS;JavaScript;Kotlin;PHP;Python;Ruby;SQL;TypeScript,Bun;Docker;Gradle;Homebrew;Kubernetes;Make;Maven (build tool);npm;Pip;pnpm;Podman;Terraform;Unity 3D;Vite;Webpack,Amazon Web Services (AWS);Cloudflare;Firebase;Heroku;Microsoft Azure;VMware,.NET (5+) ;.NET Framework (1.0 - 4.8);Electron;RabbitMQ;Spring Framework
"Developer, game or graphics",Austria,2 to 9 employees,25,,Assembly;C;C++;HTML/CSS;JavaScript;Kotlin;MATLAB;PHP;Python;Rust;SQL;Swift,Composer;Docker;Google Test;Gradle;Homebrew;Ninja;npm;Pip;Unreal Engine,Amazon Web Services (AWS);Google Cloud,CUDA;GTK;Opencv;Qt;TensorFlow;Torch/PyTorch
"Developer, desktop or enterprise applications",Austria,10 to 19 employees,16,,C#;C++;JavaScript;SQL,Docker;MSBuild;NuGet,,.NET (5+) 
"Developer, full-stack",Israel,100 to 499 employees,10,250000.0,C;Go;JavaScript;TypeScript,APT;Chef;Dagger;Google Test;Kubernetes,,Hadoop;Ktor;OpenCL;Qt
"Developer, front-end",Ukraine,"1,000 to 4,999 employees",9,150000.0,Assembly;C;C++,Docker;Kubernetes;npm;Webpack;Yarn,Cloudflare;Digital Ocean;Google Cloud;Microsoft Azure,Electron;Ionic
"Developer, full-stack",Russian Federation,100 to 499 employees,13,2000000.0,C#;HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,Docker;Make;npm;Pip;Webpack;Yarn,,Apache Kafka;Hadoop
"Developer, QA or test",Ukraine,"1,000 to 4,999 employees",8,,Java,Docker;Gradle,Amazon Web Services (AWS),
"Developer, front-end",Ukraine,20 to 99 employees,8,140000.0,JavaScript;TypeScript,Chocolatey;Docker;npm;Vite;Webpack;Yarn,,React Native
"Developer, full-stack","Venezuela, Bolivarian Republic of...",20 to 99 employees,8,10800.0,JavaScript;PHP;SQL,Composer;Docker;npm;pnpm;Yarn,Amazon Web Services (AWS),React Native
Student,Ukraine,,,,C;C++;Python;SQL,Visual Studio Solution,Amazon Web Services (AWS),
"Developer, full-stack",Uruguay,10 to 19 employees,6,93000.0,JavaScript;Python;TypeScript,Homebrew;Make;npm;pnpm;Vite;Webpack;Yarn,Amazon Web Services (AWS);Supabase;Vercel,Electron;NumPy;Pandas;TensorFlow;Torch/PyTorch
Scientist,France,20 to 99 employees,3,38000.0,C;Go;Python;Rust,Docker;Pip,Google Cloud;OVH,
Student,Germany,,,,Bash/Shell (all shells);C;Go;HTML/CSS;Java;JavaScript;Python;Ruby;SQL,Docker;Gradle;Maven (build tool);npm;Pip;Webpack,Amazon Web Services (AWS);Cloudflare;Oracle Cloud Infrastructure (OCI);PythonAnywhere,
"Developer, full-stack",Brazil,20 to 99 employees,14,165000.0,C#;Dart;HTML/CSS;JavaScript;SQL,Gradle;MSBuild;NuGet;Visual Studio Solution,,.NET (5+) ;.NET Framework (1.0 - 4.8);Flutter
"Developer, embedded applications or devices",Poland,20 to 99 employees,13,132000.0,C++;Python,Pip,,
"Developer, mobile",Ukraine,100 to 499 employees,7,2400000.0,Bash/Shell (all shells);Dart;Java;JavaScript;Kotlin;Python;Swift;TypeScript,Docker;Gradle;Pip,Firebase;Google Cloud,Flutter
"Developer, full-stack",Ireland,2 to 9 employees,3,38400.0,JavaScript;PHP,Composer;Homebrew;npm;Webpack,Cloudflare;Heroku,
Engineering manager,Czech Republic,"1,000 to 4,999 employees",5,95000.0,C#;F#;PowerShell,Docker;NuGet;Visual Studio Solution,,.NET (5+) ;.NET Framework (1.0 - 4.8)
"Developer, full-stack",Ukraine,20 to 99 employees,14,3600.0,Crystal;Go;HTML/CSS;JavaScript;PHP;Ruby;Rust;SQL,Composer;Docker,Cloudflare,Flutter;RabbitMQ
Student,Ukraine,,,,C++;JavaScript,,OpenShift;OpenStack,OpenCL;Qt
Project manager,United States of America,500 to 999 employees,17,85000.0,C#;HTML/CSS;JavaScript;SQL;Visual Basic (.Net),Visual Studio Solution,Managed Hosting,.NET (5+) ;.NET Framework (1.0 - 4.8)
Cloud infrastructure engineer,Ukraine,"5,000 to 9,999 employees",28,,Go,Docker;Homebrew;Kubernetes;Unreal Engine,Google Cloud,Apache Kafka
"Developer, full-stack",Ukraine,20 to 99 employees,7,70000.0,C#;F#;Go;JavaScript;Python;R;SQL;TypeScript,Ant;MSBuild;npm;NuGet;Pip;Terraform;Webpack,Amazon Web Services (AWS);Microsoft Azure,.NET (5+) ;Flutter;RabbitMQ
Other (please specify):,New Zealand,,,,HTML/CSS;Java;JavaScript;PHP;SQL;Swift;Visual Basic (.Net),Docker,Cloudflare,SwiftUI
"Developer, full-stack",Croatia,20 to 99 employees,4,19920.0,Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,Docker;npm,Amazon Web Services (AWS);Digital Ocean,
Research & Development role,Ukraine,500 to 999 employees,20,5400.0,C#;JavaScript;TypeScript,Docker;Kubernetes;MSBuild;npm;NuGet;Unity 3D;Webpack,Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ
"Developer, mobile",Germany,500 to 999 employees,8,102000.0,Swift,Homebrew;Make,Firebase,SwiftUI
Research & Development role,Israel,I don’t know,2,,Assembly;Bash/Shell (all shells);C++;Dart;Groovy;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL,APT;Chef;Chocolatey;Docker;Gradle;Kubernetes;Make;Maven (build tool);npm;Pip,Cloudflare;Digital Ocean;Microsoft Azure;OpenShift;VMware,Apache Kafka;Flutter;Hadoop;Pandas;Qt;RabbitMQ
"Developer, back-end",Germany,"1,000 to 4,999 employees",13,91075.0,C++;Kotlin,Google Test;Gradle,,
"Developer, full-stack",France,10 to 19 employees,4,42000.0,Bash/Shell (all shells);HTML/CSS;TypeScript,Docker;npm;Webpack,OVH;VMware,
"Developer, desktop or enterprise applications",Poland,500 to 999 employees,12,,Bash/Shell (all shells);C#;PowerShell,MSBuild;NuGet;Visual Studio Solution,Microsoft Azure,.NET (5+) ;.NET Framework (1.0 - 4.8)
"Developer, full-stack",Argentina,100 to 499 employees,5,27000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;SQL,Composer;Docker;npm;Webpack,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud,RabbitMQ
"Developer, embedded applications or devices",Poland,20 to 99 employees,8,160000.0,Assembly;Bash/Shell (all shells);C;C++;GDScript;Groovy;HTML/CSS;JavaScript;Lisp;Lua;Python;Rust;Zig,Docker;Godot;Google Test;Make;Ninja;Pacman;Pip;Puppet,,Hugging Face Transformers;OpenGL
Other (please specify):,India,,,,Bash/Shell (all shells);C;HTML/CSS;JavaScript;MATLAB;PHP;Python;SQL,,"Amazon Web Services (AWS);Digital Ocean;Google Cloud;Linode, now Akamai;Microsoft Azure;Vultr",GTK;Qt
"Developer, full-stack",Ukraine,"Just me - I am a freelancer, sole proprietor, etc.",11,300000.0,HTML/CSS;JavaScript;PHP;Python;Solidity;SQL,APT;Docker;Gradle;Homebrew;npm;Pip;pnpm;Vite;Webpack;Yarn,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Vultr,TensorFlow;Torch/PyTorch
Blockchain,Ukraine,2 to 9 employees,2,100000.0,C#;C++;JavaScript;Solidity;TypeScript,Docker;npm;Webpack;Yarn,Google Cloud;Vercel,
"Developer, full-stack",United States of America,"Just me - I am a freelancer, sole proprietor, etc.",27,150000.0,Assembly;Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;JavaScript;PHP;SQL;TypeScript,Docker;Make;npm;Pip;Unity 3D;Unreal Engine;Visual Studio Solution,Amazon Web Services (AWS);Cloudflare,.NET Framework (1.0 - 4.8);DirectX;GTK;MFC
"Developer, back-end",Ukraine,100 to 499 employees,2,,Java;SQL,Docker;Kubernetes;Maven (build tool),,
Student,India,,,,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;PowerShell,Google Test;Make;npm;Pacman,Google Cloud,OpenGL
Other (please specify):,United States of America,,,,HTML/CSS;JavaScript;PHP;Python;SQL,npm,,
Student,Ukraine,,,,Kotlin;Python;SQL,,,
Student,Uganda,,,,C;HTML/CSS;PHP;SQL;Visual Basic (.Net),Google Test;Visual Studio Solution,Google Cloud,
"Developer, full-stack",Albania,10 to 19 employees,5,,C;HTML/CSS;JavaScript;PHP;PowerShell;SQL,Docker;Kubernetes;npm;Vite;Webpack;Yarn,Amazon Web Services (AWS);Digital Ocean;Heroku,
"Developer, desktop or enterprise applications",Germany,20 to 99 employees,15,100000.0,C++,APT;Docker;Gradle,,Qt
Student,Canada,,1,,C;Dart;HTML/CSS;Java;JavaScript;R;SQL;TypeScript,Docker;npm,Heroku;Microsoft Azure;Render,Flutter
