DevType,CompTotal,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,PlatformHaveWorkedWith,WebframeHaveWorkedWith,EmbeddedHaveWorkedWith,MiscTechHaveWorkedWith,Industry
"Developer, back-end",127500000.0,Java;JavaScript;Kotlin;TypeScript,H2;PostgreSQL,Amazon Web Services (AWS),React;Spring Boot,Arduino;Rasberry Pi,Spring Framework,
"Developer, full-stack",125355000.0,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Python;SQL;TypeScript,PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;Vercel,Node.js;React;Svelte,GNU GCC;LLVM's Clang,,Energy
"Developer, full-stack",21000000.0,C;C++;Python;Rust;Swift;TypeScript,PostgreSQL,Amazon Web Services (AWS),FastAPI;Node.js;React,Cargo;Rasberry Pi,SwiftUI,Software Development
"Developer, front-end",82200000.0,HTML/CSS;JavaScript;TypeScript,Cosmos DB;MySQL,Microsoft Azure,Next.js;React,,,
"Developer, full-stack",69000000.0,C;C#;JavaScript;Python;Ruby;Swift,Cloud Firestore;Elasticsearch;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Hetzner,ASP.NET;ASP.NET CORE;Django;Ruby on Rails;Vue.js,,.NET (5+);SwiftUI;Xamarin,
"Developer, full-stack",91200000.0,Bash/Shell (all shells);Elixir;HTML/CSS;JavaScript;Rust;TypeScript,PostgreSQL;SQLite,Cloudflare;Firebase;Fly.io,Phoenix,,,Software Development
"Developer, back-end",84000000.0,HTML/CSS;JavaScript;PHP;SQL,MySQL,,Drupal;Symfony,,,
"Developer, full-stack",230160000.0,Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;Kotlin;PowerShell;SQL,Microsoft SQL Server;Snowflake;Supabase,Microsoft Azure;Vercel,ASP.NET;ASP.NET CORE;Blazor;jQuery;Node.js,Rasberry Pi,.NET (5+);.NET Framework (1.0 - 4.8);Opencv,Retail and Consumer Services
"Developer, back-end",90000000.0,Elixir;Go;HTML/CSS;JavaScript;Kotlin;Rust,MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Hetzner,Phoenix;Ruby on Rails,,Flutter;SwiftUI,
"Developer, embedded applications or devices",56000000.0,C;C++;Python,SQLite,,,GNU GCC;LLVM's Clang,,"Internet, Telecomm or Information Services"
"Developer, full-stack",112500000.0,Bash/Shell (all shells);C#;Dart;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,PostgreSQL,Firebase;Google Cloud;Microsoft Azure,ASP.NET CORE;Express;FastAPI;Next.js;Node.js;React,,.NET (5+);Flutter;Keras;Opencv;RabbitMQ;React Native;TensorFlow,Software Development
"Developer, back-end",108000000.0,Java;Python;SQL,BigQuery;H2;Microsoft SQL Server;Snowflake,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Spring Boot,,Pandas;Spring Framework,Fintech
Academic researcher,105000000.0,Bash/Shell (all shells);Java;JavaScript;Kotlin;Python;Scala;SQL;TypeScript,PostgreSQL;SQLite,,Node.js;Vue.js,,NumPy;Pandas;Scikit-Learn,Higher Education
"Developer, back-end",49000000.0,Go;Groovy;Java;JavaScript;PHP;Python;SQL,MariaDB;MySQL;Oracle;SQLite,Amazon Web Services (AWS);Cloudflare;Firebase,Angular;Django;Flask;Laravel;Spring Boot,,Apache Kafka,Fintech
"Developer, back-end",6120000.0,C++,,,Django,CMake;GNU GCC,CUDA,
"Developer, full-stack",105000000.0,Elixir,PostgreSQL,Amazon Web Services (AWS);Cloudflare;Fly.io,Phoenix,,,Software Development
Data engineer,105300000.0,Bash/Shell (all shells);Go;Python;SQL,BigQuery;PostgreSQL,Amazon Web Services (AWS);Google Cloud,,,Apache Kafka;NumPy;Pandas,Fintech
"Developer, back-end",76800000.0,Elixir;Go;JavaScript;Ruby,PostgreSQL,Amazon Web Services (AWS);Fly.io,Phoenix;Ruby on Rails,Rasberry Pi,,Retail and Consumer Services
Data engineer,75000000.0,Bash/Shell (all shells);JavaScript;Python;R;SQL,MongoDB;PostgreSQL,Microsoft Azure,,,NumPy;Pandas;Scikit-Learn,
"Developer, mobile",59772000.0,Java;JavaScript;Swift,,"Amazon Web Services (AWS);Linode, now Akamai",React,,React Native,Software Development
"Developer, full-stack",60000000.0,JavaScript;TypeScript,Dynamodb;SQLite;Supabase,Amazon Web Services (AWS);Netlify;Vercel,Node.js;Nuxt.js;Vue.js,Rasberry Pi,Capacitor,
"Developer, front-end",200000000.0,TypeScript,PostgreSQL,Amazon Web Services (AWS),Next.js;Node.js;React,,,Fintech
"Developer, full-stack",54800000.0,Bash/Shell (all shells);HTML/CSS;Python;Rust;SQL;TypeScript,MongoDB;PostgreSQL,,NestJS;React,,Electron,"Internet, Telecomm or Information Services"
"Developer, embedded applications or devices",67500000.0,Bash/Shell (all shells);C,,,,GNU GCC,,Software Development
"Developer, full-stack",92000000.0,HTML/CSS;JavaScript;Kotlin;PHP;Python;SQL,MySQL;Redis,,Node.js;React;Symfony,,NumPy;Pandas;RabbitMQ,Banking/Financial Services
"Developer, full-stack",25200000.0,C#;HTML/CSS;JavaScript;TypeScript,Microsoft SQL Server;PostgreSQL;SQLite,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;jQuery,,.NET (5+);.NET Framework (1.0 - 4.8),
"Developer, full-stack",49320000.0,C#;HTML/CSS;JavaScript;SQL;TypeScript,Firebase Realtime Database;Microsoft SQL Server,Firebase;Microsoft Azure,Angular;ASP.NET CORE,,.NET (5+);.NET Framework (1.0 - 4.8);.NET MAUI;Flutter,
"Developer, mobile",102000000.0,C#;C++;Java;Python;Rust;SQL;Swift,BigQuery,,Spring Boot,CMake;Cargo,.NET (5+);.NET MAUI;SwiftUI;Xamarin,Manufacturing
"Developer, back-end",79500000.0,HTML/CSS;JavaScript;PHP;SQL;TypeScript,MariaDB;MySQL,Amazon Web Services (AWS),Nuxt.js;Vue.js,Arduino;Rasberry Pi,,"Transportation, or Supply Chain"
"Developer, full-stack",67500000.0,C#;Dart;HTML/CSS;JavaScript;SQL,Microsoft SQL Server;PostgreSQL;SQLite,Microsoft Azure,AngularJS;ASP.NET CORE;jQuery;Node.js,,.NET (5+);.NET Framework (1.0 - 4.8),Software Development
"Developer, full-stack",62472000.0,Java;PHP;Python;Ruby;SQL;Visual Basic (.Net),Elasticsearch;Firebase Realtime Database;MariaDB;Microsoft Access;Microsoft SQL Server;MySQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare;Microsoft Azure,jQuery;React;Ruby on Rails;WordPress,Arduino,,
Security professional,165000000.0,Bash/Shell (all shells);C;Go;HTML/CSS;Java;JavaScript;MATLAB;Python;Scala;SQL,Cassandra;MySQL,Cloudflare;Digital Ocean;Google Cloud,Svelte,,,
"Developer, back-end",100000000.0,Bash/Shell (all shells);Elixir,PostgreSQL,Amazon Web Services (AWS);Microsoft Azure,Flask;Phoenix,,Hugging Face Transformers,
"Developer, mobile",180000000.0,TypeScript,MongoDB,Amazon Web Services (AWS),React,,React Native,
"Developer, full-stack",35100000.0,Java;PHP;PowerShell;Python;SQL,IBM DB2;MariaDB,Amazon Web Services (AWS);Firebase;Google Cloud;Heroku,Laravel;Spring Boot,,Spring Framework,Fintech
Cloud infrastructure engineer,111792000.0,Go;Python,Elasticsearch;PostgreSQL;Redis,Amazon Web Services (AWS);Google Cloud,Django;FastAPI;Flask,Arduino;Rasberry Pi,Apache Kafka;TensorFlow,
"Developer, mobile",137000000.0,Bash/Shell (all shells);C++;Java;JavaScript;PHP;PowerShell;Python;SQL,MySQL,,Spring Boot,,Hugging Face Transformers;Pandas;React Native;Scikit-Learn;Spring Framework;TensorFlow;Torch/PyTorch,
"Developer, full-stack",135000000.0,Bash/Shell (all shells);Dart;Java;SQL;TypeScript,H2;MariaDB;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS),Angular;Spring Boot,,Flutter;Spring Framework,Software Development
Academic researcher,42000000.0,Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Python;SQL,H2;InfluxDB;Microsoft SQL Server;PostgreSQL;SQLite,Amazon Web Services (AWS);Firebase;Microsoft Azure,Flask;React;Spring Boot;Svelte,Arduino;CMake;GNU GCC;Rasberry Pi,Apache Kafka;Flutter;Opencv;RabbitMQ;Spring Framework,Software Development
DevOps specialist,153000000.0,Bash/Shell (all shells);C;Go;Lua;Python;SQL,PostgreSQL;Redis;SQLite,Hetzner,,CMake;GNU GCC;LLVM's Clang,,
"Developer, back-end",32400000.0,JavaScript;Python;SQL;TypeScript,MongoDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Google Cloud,Express;Fastify;Flask;NestJS;Node.js,,,
"Developer, full-stack",18090000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,MongoDB;PostgreSQL,,Angular;AngularJS;NestJS;Node.js,,,Software Development
"Developer, full-stack",41250000.0,Java;SQL;TypeScript,PostgreSQL,OpenShift,Angular;React,,,
"Developer, back-end",45000000.0,C;C++;Java;Python;SQL;VBA,MySQL;Oracle;PostgreSQL,Firebase,Laravel;Spring Boot;Vue.js,,Spring Framework,
"Developer, full-stack",102750000.0,HTML/CSS;JavaScript;Ruby;SQL;TypeScript,PostgreSQL,Amazon Web Services (AWS);Cloudflare;Heroku;Vercel,jQuery;Next.js;Ruby on Rails,,,Software Development
"Developer, full-stack",44100000.0,Go;HTML/CSS;JavaScript;TypeScript,PostgreSQL;Redis,Amazon Web Services (AWS);Vercel,Next.js;Nuxt.js;React;Vue.js,,,Fintech
"Developer, embedded applications or devices",42000.0,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Lua;Python,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,Hetzner,AngularJS;ASP.NET;ASP.NET CORE;Blazor;Flask;Node.js;React,CMake;GNU GCC;LLVM's Clang;Rasberry Pi,.NET (5+);.NET Framework (1.0 - 4.8);.NET MAUI;NumPy;OpenGL;Pandas;Qt;Scikit-Learn,Software Development
"Developer, full-stack",54000000.0,C;HTML/CSS;Java;JavaScript;Lua;PHP;Python;SQL;TypeScript,MariaDB;MongoDB;MySQL;Redis;SQLite,Amazon Web Services (AWS);Vercel,FastAPI;jQuery;Next.js;Node.js;React;WordPress,Rasberry Pi,Electron,
"Developer, full-stack",115000000.0,Go;Groovy;HTML/CSS;Java;JavaScript;SQL;TypeScript,Dynamodb;Elasticsearch;H2;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare;Fly.io;Heroku;Vercel,Express;jQuery;Next.js;Node.js;React,,RabbitMQ;Spring Framework,Retail and Consumer Services
"Developer, full-stack",72150000.0,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server;MongoDB;Oracle,,ASP.NET;ASP.NET CORE;Node.js;React,,.NET (5+);.NET Framework (1.0 - 4.8),Software Development
"Developer, full-stack",80000000.0,Assembly;C++;HTML/CSS;Java;JavaScript;Perl;PHP,MariaDB;MySQL;PostgreSQL,,,CMake;GNU GCC;Rasberry Pi,,Software Development
Cloud infrastructure engineer,1680000.0,Bash/Shell (all shells);JavaScript;Python;SQL,Elasticsearch;InfluxDB;MongoDB;MySQL;PostgreSQL,Amazon Web Services (AWS);Cloudflare;Google Cloud;Hetzner,,,,
Security professional,155200000.0,C#,Microsoft SQL Server,Amazon Web Services (AWS);Microsoft Azure,ASP.NET CORE,CMake,Apache Kafka,
"Developer, full-stack",308250000.0,Bash/Shell (all shells);Go;JavaScript;TypeScript,BigQuery;MongoDB;Redis,Amazon Web Services (AWS);Google Cloud,Express;jQuery;Node.js,,,Software Development
"Developer, full-stack",16440000.0,C#;Go;HTML/CSS;JavaScript;Lua;Python;TypeScript,Cloud Firestore;Dynamodb;Elasticsearch;MongoDB,Amazon Web Services (AWS);Cloudflare;Microsoft Azure,Express;Fastify;NestJS;Node.js;React,,Capacitor;TensorFlow;Torch/PyTorch,
"Developer, mobile",37800000.0,Dart;Kotlin;SQL;Swift,Cloud Firestore;PostgreSQL,Amazon Web Services (AWS);Firebase;Google Cloud,,,Flutter,Software Development
"Developer, full-stack",8000000.0,C#;HTML/CSS;JavaScript;SQL;Visual Basic (.Net),Microsoft Access;Microsoft SQL Server,,ASP.NET;ASP.NET CORE;jQuery;WordPress,,.NET (5+);.NET Framework (1.0 - 4.8),
"Developer, back-end",45000000.0,HTML/CSS;JavaScript;Python;SQL;TypeScript,MongoDB;PostgreSQL,Cloudflare;Google Cloud,Django;Express;NestJS;Node.js;Vue.js,,,Software Development
"Developer, full-stack",52500000.0,C#,Microsoft SQL Server,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;React;Vue.js,,.NET (5+);Xamarin,Software Development
"Developer, full-stack",105750000.0,Dart;Elixir;Python;Ruby;TypeScript,PostgreSQL,"Digital Ocean;Fly.io;Linode, now Akamai",Angular;Django;Phoenix;Ruby on Rails,,Capacitor;Flutter;Ionic,Software Development
"Developer, full-stack",2800000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,MariaDB;MySQL;PostgreSQL,Amazon Web Services (AWS);Digital Ocean,Laravel;Node.js;Vue.js,,,Software Development
"Developer, back-end",68880000.0,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;Redis,Microsoft Azure,Angular;ASP.NET CORE;Blazor,,.NET (5+);.NET Framework (1.0 - 4.8);RabbitMQ,Software Development
"Developer, full-stack",25840000.0,C;C#;Dart;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Cloud Firestore;Elasticsearch;Firebase Realtime Database;MySQL;PostgreSQL;Redis;SQLite,Cloudflare;Firebase;Google Cloud;Heroku;Vercel,Angular;Express;FastAPI;Flask;jQuery;Laravel;Node.js;React;Spring Boot;Vue.js,,Flutter;Keras;NumPy;Opencv;Pandas;Qt;Scikit-Learn;TensorFlow;Torch/PyTorch,Retail and Consumer Services
"Developer, back-end",31500000.0,HTML/CSS;JavaScript;PHP;SQL,MongoDB;MySQL;PostgreSQL,,Laravel;Node.js,,,
"Developer, full-stack",3014000.0,HTML/CSS;JavaScript;Python;SQL;TypeScript,Dynamodb;PostgreSQL;SQLite;Supabase,Amazon Web Services (AWS);Cloudflare;Heroku,Django;Express;Fastify;Gatsby;Next.js;Node.js;React,,,
DevOps specialist,9864000.0,Bash/Shell (all shells);PowerShell;Python;SQL,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Microsoft Azure,,,,Software Development
"Developer, full-stack",15120000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript;VBA,Microsoft SQL Server,Amazon Web Services (AWS);Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;Django;Express;Flask;Laravel;Next.js;Node.js;React,,.NET (5+);NumPy;Pandas;Torch/PyTorch;Xamarin,Software Development
"Developer, back-end",147000.0,JavaScript;Python;TypeScript,MySQL;PostgreSQL;Redis,,Django;FastAPI;Flask,,,
"Developer, full-stack",48600000.0,JavaScript;SQL;TypeScript,PostgreSQL,Vercel,Express;Next.js;Node.js,,Electron;React Native,Retail and Consumer Services
"Developer, full-stack",18084000.0,C++;Go;HTML/CSS;Java;JavaScript;MATLAB;Python;SQL;TypeScript,BigQuery;Elasticsearch;MongoDB;PostgreSQL,Digital Ocean;Google Cloud,Django;Express;FastAPI;React;Vue.js,,NumPy;Pandas;Scikit-Learn,Software Development
Data scientist or machine learning specialist,216460000.0,Python,Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS),Flask,GNU GCC;LLVM's Clang,Hugging Face Transformers;NumPy;Pandas;Scikit-Learn;Torch/PyTorch,
"Developer, back-end",232900000.0,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Perl;PowerShell;Python;SQL,Oracle;PostgreSQL;Redis;Supabase,Amazon Web Services (AWS);Vercel,,CMake,Apache Kafka,
"Developer, full-stack",108000000.0,C;HTML/CSS;Java;Python;TypeScript,MariaDB;MongoDB;SQLite,Amazon Web Services (AWS),Angular;React;Spring Boot,Arduino;Rasberry Pi,Spring Framework,"Internet, Telecomm or Information Services"
"Developer, full-stack",1050000.0,HTML/CSS;JavaScript;Objective-C;PHP;TypeScript,MongoDB;PostgreSQL;Redis,Vercel,Express;NestJS;Next.js;Node.js;React;WordPress,Arduino,React Native,
"Developer, back-end",42000000.0,Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Dynamodb;Elasticsearch;MySQL;PostgreSQL,Amazon Web Services (AWS),Angular;Node.js;Spring Boot,,Apache Kafka;NumPy;Opencv;OpenGL;Spring Framework;TensorFlow,Software Development
"Developer, full-stack",85290000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Microsoft SQL Server;MongoDB;PostgreSQL,,Angular;ASP.NET CORE;Node.js,,.NET (5+);.NET Framework (1.0 - 4.8);Opencv,Manufacturing
"Developer, full-stack",75000000.0,C#,,,,,.NET (5+);.NET Framework (1.0 - 4.8),Software Development
Cloud infrastructure engineer,178100000.0,TypeScript,Dynamodb;Neo4J,Amazon Web Services (AWS);Google Cloud,Node.js;React,,,Fintech
"Developer, back-end",97500000.0,JavaScript;PHP;Ruby;SQL,Cassandra;Elasticsearch;InfluxDB;MariaDB;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Managed Hosting;VMware,Node.js;React;Ruby on Rails;Symfony,,Apache Kafka;RabbitMQ,"Internet, Telecomm or Information Services"
"Developer, full-stack",205500000.0,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server,Amazon Web Services (AWS);Microsoft Azure,ASP.NET;ASP.NET CORE;React,,.NET (5+);.NET Framework (1.0 - 4.8),Software Development
"Developer, full-stack",5000000.0,HTML/CSS;JavaScript;TypeScript,MongoDB;PostgreSQL,Amazon Web Services (AWS);Cloudflare;Netlify;Vercel,Express;Next.js;React,,React Native,Software Development
"Developer, full-stack",58799999.99999999,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,MariaDB;MongoDB;MySQL;SQLite,"Amazon Web Services (AWS);Cloudflare;Linode, now Akamai",Express;Gatsby;jQuery;Laravel;Node.js;React;WordPress,,Ionic;React Native,Software Development
DevOps specialist,34500000.0,C;Go;Java;JavaScript;PHP,SQLite,Vercel;VMware,Django;FastAPI,,Apache Kafka,Software Development
"Developer, back-end",25200000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;MATLAB;Python;Scala;SQL,Elasticsearch;MongoDB;MySQL;PostgreSQL,Amazon Web Services (AWS);Firebase,Django;FastAPI;React,,Keras;NumPy;Pandas;TensorFlow,Software Development
"Developer, back-end",13950000.0,Bash/Shell (all shells);C;Perl;Python,SQLite,,Django;FastAPI,GNU GCC,NumPy;Pandas;Scikit-Learn;Torch/PyTorch,"Internet, Telecomm or Information Services"
"Developer, embedded applications or devices",85000000.0,C;C++;HTML/CSS;Java;JavaScript;Kotlin,MySQL;Oracle,Amazon Web Services (AWS),,,,Software Development
"Developer, back-end",28800000.0,Java;Python;SQL,PostgreSQL,Amazon Web Services (AWS),Angular;Spring Boot,,Pandas,"Internet, Telecomm or Information Services"
"Developer, front-end",24780000.0,HTML/CSS;JavaScript;Python;TypeScript,MongoDB,Heroku,Express;Node.js;Nuxt.js;Vue.js,,NumPy;Pandas,Software Development
"Developer, embedded applications or devices",26816400.0,Bash/Shell (all shells);C;C++;Python,,,,CMake;GNU GCC;LLVM's Clang,NumPy,
"Developer, full-stack",83707000.0,Java;JavaScript;TypeScript,,Amazon Web Services (AWS),React,,,
"Developer, back-end",129000000.0,Bash/Shell (all shells);Elixir;HTML/CSS;JavaScript;Ruby,PostgreSQL,Amazon Web Services (AWS),Next.js;Phoenix,,,
"Developer, front-end",120000000.0,JavaScript;PHP;TypeScript,MariaDB,"Digital Ocean;Firebase;Linode, now Akamai;Netlify",Next.js;Node.js;React,,,
"Developer, full-stack",235640000.0,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Ruby;Rust;SQL;TypeScript,Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite,Google Cloud,jQuery;Node.js;React;Ruby on Rails,,,Healthcare
"Developer, front-end",32200000.0,HTML/CSS;JavaScript;PHP,MongoDB;MySQL,Amazon Web Services (AWS);Cloudflare;Google Cloud,Express;Gatsby;jQuery;Node.js;Nuxt.js;Vue.js;WordPress,,,
"Developer, front-end",38206560.0,HTML/CSS;JavaScript;Python;TypeScript,Dynamodb;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Netlify;Vercel,Next.js;Node.js;React,,React Native,
"Developer, full-stack",18900000.0,Bash/Shell (all shells);C++;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL,MariaDB;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Microsoft Azure,AngularJS;Drupal;Express;FastAPI;Fastify;Flask;jQuery;Node.js;React;WordPress,Arduino;CMake;GNU GCC,NumPy;Pandas;RabbitMQ;React Native,Banking/Financial Services
"Developer, full-stack",117000000.0,HTML/CSS;Java;JavaScript;Kotlin;Python;TypeScript,Elasticsearch;PostgreSQL,Amazon Web Services (AWS),Next.js;Node.js;React;Spring Boot,,Spring Framework,Retail and Consumer Services
"Developer, back-end",57000000.0,Bash/Shell (all shells);Go;Groovy;Java;JavaScript;Kotlin;Scala;SQL,Elasticsearch;MongoDB;Oracle;PostgreSQL,Amazon Web Services (AWS);OpenShift;VMware,Angular;Spring Boot,Rasberry Pi,Apache Kafka;Keras;NumPy;Spring Framework,Government
DevOps specialist,140000000.0,Bash/Shell (all shells);Python;SQL,PostgreSQL,Amazon Web Services (AWS),,,,Banking/Financial Services
"Developer, AI",164400000.0,JavaScript;Python;Swift;TypeScript,PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Fly.io;Microsoft Azure;Vercel,Django;NestJS;Next.js;Node.js;React,,Electron;Hugging Face Transformers;NumPy;Pandas;RabbitMQ;SwiftUI;Torch/PyTorch,Software Development
"Developer, full-stack",68500000.0,C#;HTML/CSS;JavaScript;PHP,Microsoft SQL Server;MySQL;SQLite,Cloudflare;Digital Ocean;Microsoft Azure,ASP.NET CORE;Blazor;React;Vue.js;WordPress,,.NET (5+);.NET Framework (1.0 - 4.8);.NET MAUI,
"Developer, full-stack",112500000.0,HTML/CSS;Java;JavaScript;Python;TypeScript,Dynamodb;MariaDB;SQLite,Amazon Web Services (AWS),Django;Next.js;Node.js;React;Spring Boot;Vue.js;WordPress,,Spring Framework,Banking/Financial Services
"Developer, embedded applications or devices",340000000.0,C++;Java;Rust,,,,Rasberry Pi,,Software Development
"Developer, front-end",77268000.0,Dart;HTML/CSS;JavaScript;TypeScript,SQLite,Amazon Web Services (AWS);Firebase,React,,Flutter;React Native,
"Developer, front-end",94828755.0,HTML/CSS;JavaScript;TypeScript,MongoDB;PostgreSQL,,Angular;React,,,Software Development
"Developer, mobile",68500000.0,C++;Java;JavaScript;Python;Swift;TypeScript,SQLite,Cloudflare,,,Capacitor;Cordova;Ionic;OpenGL,
"Developer, full-stack",118300000.0,Elixir;JavaScript;SQL;TypeScript,PostgreSQL,Fly.io,Phoenix;Vue.js,,,
"Developer, mobile",62472000.0,Kotlin,,Hetzner,,,,Software Development
"Developer, full-stack",186320000.0,Go;HTML/CSS;JavaScript;Kotlin;Objective-C;Python;Rust;SQL;TypeScript,Dynamodb;Elasticsearch;MongoDB;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Cloudflare;Fly.io;Google Cloud;Vercel,Express;Fastify;Next.js;Node.js;React,Arduino;Cargo;Rasberry Pi,Electron,Software Development
