DevType,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSat
"Developer, full-stack",3125000.0,Dart;Java;JavaScript;Kotlin;PHP;PowerShell;Python;SQL;TypeScript,Dart;Java;JavaScript;Kotlin;PHP;PowerShell;Python;SQL;Swift;TypeScript,Microsoft SQL Server;MySQL;Oracle;PostgreSQL,Microsoft SQL Server;MySQL;PostgreSQL,Firebase;Google Cloud,Firebase;Google Cloud,Angular;AngularJS;Django;Laravel;Node.js;Spring Boot,Angular;Django;Laravel;Node.js;Spring Boot,,,Flutter;NumPy,Flutter;NumPy,Gradle;Maven (build tool);npm;Pip;Visual Studio Solution,Gradle;Maven (build tool);npm;Pip;Visual Studio Solution,Automated testing;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,6.0
"Developer, full-stack",1300000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,MongoDB;MySQL,MongoDB;MySQL;PostgreSQL;SQLite,Cloudflare;Heroku;Vercel,Amazon Web Services (AWS);Cloudflare;Vercel,jQuery;Next.js;Node.js;React;WordPress,Next.js;Node.js;React,Rasberry Pi,,,,Docker;npm;pnpm;Vite;Webpack,Docker;npm;pnpm;Vite;Webpack,DevOps function;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),AI-powered search (free),Retail and Consumer Services,8.0
"Developer, back-end",328800000.0,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Go;Java;TypeScript,MySQL;PostgreSQL,Elasticsearch;MongoDB,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS),Express;FastAPI;React;Spring Boot,React;Spring Boot,,,,,Ansible;APT;Docker;Homebrew;Kubernetes;Make;npm;Pip,Ansible;APT;Docker;Homebrew;Kubernetes;npm,DevOps function;Automated testing;Observability tools;AI-assisted technology tool(s);Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,8.0
"Developer, front-end",7500000.0,Dart;HTML/CSS;JavaScript;TypeScript,Python,MongoDB;MySQL;PostgreSQL,,Amazon Web Services (AWS),Cloudflare,Express;Next.js;Node.js;React;Vue.js,Django;FastAPI,,,,,Docker;npm;Webpack,Bun;Kubernetes,DevOps function;Knowledge sharing community;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,5.0
"Developer, full-stack",57750000.0,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server,Microsoft SQL Server;PostgreSQL;SQLite,Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET CORE;jQuery;Node.js;React,ASP.NET;ASP.NET CORE;Node.js;React,,,.NET (5+);.NET Framework (1.0 - 4.8),.NET (5+),MSBuild;npm;NuGet;Visual Studio Solution,Docker;MSBuild;npm;NuGet;Visual Studio Solution,DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),AI-powered search (free),Software Development,6.0
"Developer, full-stack",125800000.0,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server;PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Firebase,Amazon Web Services (AWS),Angular;ASP.NET CORE,Angular;ASP.NET CORE,,,.NET (5+),.NET (5+),Docker;Gradle;npm;Webpack,Docker;Kubernetes;npm;Podman,DevOps function;Automated testing;Observability tools;Knowledge sharing community;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Cloud only (single or multi-cloud),Traditional public search engine,Higher Education,9.0
"Developer, AI",152000000.0,C#;C++;HTML/CSS;PowerShell;Python;Rust,C#;HTML/CSS;PowerShell;Python;Rust,,,Microsoft Azure,Microsoft Azure,React,React,,,.NET (5+);.NET Framework (1.0 - 4.8);React Native,.NET (5+);CUDA;React Native,Chocolatey;Docker;MSBuild;npm;NuGet;Pip;Podman;Visual Studio Solution,Ansible;Docker;Kubernetes;MSBuild;npm;NuGet;Pip;Podman;Visual Studio Solution,DevOps function;Automated testing;AI-assisted technology tool(s);Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),AI-powered search (paid),,8.0
"Developer, full-stack",144500000.0,C#;HTML/CSS;JavaScript;SQL,C#;SQL,Microsoft SQL Server;MongoDB,Elasticsearch;Microsoft SQL Server,Microsoft Azure,Microsoft Azure,ASP.NET CORE;jQuery,ASP.NET CORE;Blazor,,,.NET (5+),.NET (5+);NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,NuGet;Visual Studio Solution,NuGet;Visual Studio Solution,Automated testing;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),A coworker,Software Development,8.0
"Developer, full-stack",129200000.0,C#;C++;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;SQL;TypeScript,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Microsoft SQL Server;MySQL;SQLite,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Microsoft Azure,Microsoft Azure,Angular;AngularJS;ASP.NET;ASP.NET CORE;jQuery;Node.js,Angular;ASP.NET;ASP.NET CORE,Rasberry Pi,Rasberry Pi,.NET (5+);.NET Framework (1.0 - 4.8),.NET (5+),MSBuild;NuGet;Visual Studio Solution,Docker;Kubernetes;NuGet;Visual Studio Solution,None of these,Hybrid (on-prem and cloud),Traditional public search engine,"Transportation, or Supply Chain",9.0
"Developer, full-stack",108000000.0,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,C#;HTML/CSS;JavaScript;PowerShell;Rust;SQL;TypeScript,Dynamodb;Microsoft SQL Server;MySQL;SQLite,Dynamodb;Microsoft SQL Server;MySQL;SQLite,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,ASP.NET;ASP.NET CORE;Node.js,ASP.NET CORE;Node.js,,,.NET (5+);.NET Framework (1.0 - 4.8),.NET (5+),Docker;MSBuild;npm;NuGet;Visual Studio Solution;Webpack,Docker;MSBuild;npm;NuGet;Visual Studio Solution;Webpack,DevOps function;Automated testing;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,10.0
"Developer, full-stack",3750000.0,C;C++;HTML/CSS;JavaScript;Python;SQL,C;C++;Dart;Go;HTML/CSS;JavaScript;Python;Rust;SQL,MariaDB;Microsoft SQL Server;MySQL;SQLite,Elasticsearch;MariaDB;Microsoft SQL Server;MySQL;Redis,Heroku,,Django;Flask;jQuery;React,Django;React,CMake,Arduino;CMake;Rasberry Pi,NumPy;Pandas;Scikit-Learn;TensorFlow,Apache Kafka;CUDA;Flutter;NumPy;Pandas;TensorFlow,npm;Pip;Yarn,Docker;npm;Pip;Yarn,DevOps function;Developer portal or other central places to find tools/services,On-prem,Traditional public search engine,,6.0
"Developer, full-stack",28000000.0,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Microsoft SQL Server;SQLite,Dynamodb;Microsoft SQL Server;MySQL;SQLite,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,Angular;ASP.NET;ASP.NET CORE,Angular;ASP.NET;ASP.NET CORE;Django;jQuery;React;Spring Boot,Arduino,Arduino,.NET (5+),.NET (5+);Apache Kafka;Torch/PyTorch,npm;NuGet,Docker;npm;NuGet,DevOps function;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Cloud only (single or multi-cloud),AI-powered search (paid),,9.0
"Developer, back-end",13680000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,C#;Go;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL,MongoDB;PostgreSQL;Redis;SQLite,,Microsoft Azure,,Angular;ASP.NET;Express;React,Blazor;FastAPI;Htmx;React;Vue.js,Arduino;Rasberry Pi,Arduino;Rasberry Pi,,CUDA,Chocolatey;Docker;Make;Visual Studio Solution;Vite;Webpack,Docker;Terraform,Observability tools;Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Manufacturing,8.0
"Developer, game or graphics",375000000.0,C#;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL,C#;Dart;Kotlin;Python,MongoDB;SQLite,SQLite,Amazon Web Services (AWS);Firebase;Google Cloud;Microsoft Azure,Firebase;Google Cloud,Django;jQuery,,Arduino,,.NET (5+);.NET Framework (1.0 - 4.8);Flutter;Pandas,.NET (5+),Docker;Gradle;npm;NuGet;Pip,Gradle;Pip,Automated testing;AI-assisted technology tool(s);Microservices,Cloud only (single or multi-cloud),AI-powered search (paid),Software Development,9.0
"Developer, back-end",84000000.0,Bash/Shell (all shells);C;C#;JavaScript;Rust;TypeScript,JavaScript;Rust;TypeScript,MongoDB;Redis,MongoDB,Amazon Web Services (AWS),Amazon Web Services (AWS),Express;Node.js,Node.js,,,,,Docker,Docker,Automated testing;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),A coworker,Fintech,8.0
"Developer, full-stack",97500000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL,Bash/Shell (all shells);C#;PowerShell;TypeScript,Microsoft SQL Server,Microsoft SQL Server;PostgreSQL,Microsoft Azure,,ASP.NET;ASP.NET CORE,Blazor;Django;Node.js,,,.NET (5+);.NET Framework (1.0 - 4.8);RabbitMQ,.NET (5+),Chocolatey;Docker;npm;NuGet;Visual Studio Solution,Docker;npm;NuGet;Visual Studio Solution,Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),AI-powered search (paid),Software Development,6.0
"Developer, back-end",160200000.0,C#;HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;Python;Rust;Zig,Microsoft SQL Server;SQLite,,Microsoft Azure,,ASP.NET CORE;React;Vue.js,Blazor;Htmx,,,.NET (5+),,Chocolatey;Docker;MSBuild;npm;NuGet;Visual Studio Solution,,DevOps function;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Energy,4.0
"Developer, front-end",2065000.0,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,,,Digital Ocean,Digital Ocean,Node.js;React,Express;Node.js;React,,,React Native,,Docker;npm;Webpack,npm;Webpack,DevOps function;Automated testing;Continuous integration (CI) and (more often) continuous delivery,On-prem,Traditional public search engine,,7.0
"Developer, back-end",63000000.0,Bash/Shell (all shells);C;C++;Python,Go;Rust;Zig,,,,,,,CMake;GNU GCC;LLVM's Clang,,,,,Docker;Podman,Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),A coworker,"Internet, Telecomm or Information Services",6.0
"Developer, full-stack",70780500.0,Dart;Go;JavaScript;Kotlin;Python;Rust;TypeScript,Go;Rust,Dynamodb;MongoDB,,Cloudflare;Google Cloud;Microsoft Azure,Cloudflare,Node.js;React,,Rasberry Pi,,Flutter;NumPy;Pandas;RabbitMQ;Torch/PyTorch,,Homebrew;Kubernetes;Vite;Yarn,Bun;Godot,DevOps function;Automated testing;Knowledge sharing community;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Media & Advertising Services,5.0
"Developer, full-stack",450000000.0,Rust;TypeScript,Elixir;Rust,,,,,React,,,,,,npm;pnpm;Yarn,,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Slack search,Software Development,8.0
"Developer, full-stack",18000000.0,Go;HTML/CSS;JavaScript;PHP;SQL,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Kotlin;Rust;SQL;TypeScript,MariaDB;MySQL;PostgreSQL,PostgreSQL;Redis,,,jQuery;Laravel;WordPress,,,,,,,,,,,,2.0
"Developer, back-end",88000000.0,Bash/Shell (all shells);Java;Python;SQL,Go;Java,MySQL;Redis,MongoDB;MySQL;Redis,,,Spring Boot,,,,Apache Kafka,Apache Kafka,Docker;Gradle;Homebrew;Kubernetes;Make;Maven (build tool);Yarn,Gradle;Kubernetes;Podman,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,8.0
DevOps specialist,2730000.0,Bash/Shell (all shells);Python;Ruby,,MariaDB;PostgreSQL;Redis,,Amazon Web Services (AWS);Microsoft Azure,Google Cloud,,Flask,Rasberry Pi,,Apache Kafka,,Ansible;Docker;Kubernetes;Make;Pip;Terraform,,DevOps function;Automated testing;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,7.0
"Developer, front-end",170000000.0,C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,HTML/CSS;JavaScript;SQL;TypeScript,MongoDB;MySQL;PostgreSQL,PostgreSQL,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Microsoft Azure,Cloudflare,Django;Express;jQuery;Next.js;Node.js;React;Vue.js;WordPress,Next.js;Node.js;React,Rasberry Pi,,RabbitMQ,,Docker;Homebrew;Kubernetes;npm;Vite;Webpack;Yarn,Docker;Homebrew;npm;Vite;Webpack;Yarn,DevOps function;Automated testing;AI-assisted technology tool(s);Developer portal or other central places to find tools/services,Hybrid (on-prem and cloud),A coworker,Software Development,7.0
"Developer, full-stack",102350000.0,HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,HTML/CSS;JavaScript;Python;SQL;TypeScript,PostgreSQL,MongoDB;PostgreSQL,Amazon Web Services (AWS);Firebase,Amazon Web Services (AWS);Firebase;Google Cloud,Django;Vue.js,Django;React;Vue.js,,,TensorFlow;Torch/PyTorch,TensorFlow;Torch/PyTorch,Docker;Gradle;npm;Pip;Vite;Webpack;Yarn,Godot,Automated testing;Observability tools;Developer portal or other central places to find tools/services,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,2.0
"Developer, full-stack",9000000.0,HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Java;JavaScript;PHP;Python;SQL,Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;Redis;SQLite,Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Heroku;Vercel,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Vercel,Angular;AngularJS;ASP.NET;ASP.NET CORE;jQuery;Laravel;Next.js;Node.js;React;Spring Boot;Vue.js;WordPress,Django;Express;Flask;Laravel;Next.js;Node.js;React;Svelte;Vue.js,Arduino;Rasberry Pi,Arduino;Rasberry Pi,Apache Kafka;Flutter;NumPy;Pandas;Torch/PyTorch,Apache Kafka;Flutter;NumPy;Pandas;Torch/PyTorch,Composer;Docker;Homebrew;npm;Pip;Visual Studio Solution;Vite;Webpack,Composer;Docker;Homebrew;npm;Pip;Visual Studio Solution;Vite;Webpack,AI-assisted technology tool(s);Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,6.0
"Developer, front-end",12096000.0,Dart;HTML/CSS;JavaScript;PHP,Go;Rust,MariaDB;PostgreSQL;Redis,PostgreSQL;Redis,,,Vue.js,Vue.js,,,Flutter,Flutter,Composer;Docker;npm;Pip;Vite;Webpack,Composer;Docker;npm;Vite;Webpack,Automated testing;Observability tools;Developer portal or other central places to find tools/services,On-prem,A coworker,Software Development,7.0
"Developer, back-end",9500000.0,C#;Go;PHP,Go;PHP,MySQL;PostgreSQL;Redis,MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Digital Ocean;Google Cloud,Digital Ocean,ASP.NET CORE,,,,.NET (5+);RabbitMQ,RabbitMQ;TensorFlow,Composer;Docker;NuGet,Composer;Docker;Kubernetes,DevOps function;Automated testing;Observability tools;Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),AI-powered search (paid),Retail and Consumer Services,6.0
"Developer, back-end",198360000.0,C++;Go;JavaScript;Python;TypeScript,Python;TypeScript,PostgreSQL;Redis;SQLite,SQLite,Digital Ocean,Digital Ocean,Flask;Node.js,Flask;Node.js,Rasberry Pi,Rasberry Pi,RabbitMQ,,Docker;npm;Yarn,npm,Automated testing;Knowledge sharing community;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,7.0
"Developer, back-end",32880000.0,HTML/CSS;Java;JavaScript;SQL,HTML/CSS;Java;SQL,,,Google Cloud,,Spring Boot,Spring Boot,,,Spring Framework,Spring Framework,Docker;Kubernetes;Maven (build tool),Maven (build tool),Microservices;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),A coworker,Banking/Financial Services,10.0
"Developer, back-end",133500000.0,C;C++;HTML/CSS;Java;JavaScript;PHP;Python;Ruby,C;C++;HTML/CSS;Java;JavaScript;PHP;Python,Oracle;Redis,,Amazon Web Services (AWS);Google Cloud,,Node.js,,Arduino;CMake;GNU GCC;LLVM's Clang;Rasberry Pi,Arduino;CMake;GNU GCC;Rasberry Pi,.NET (5+);.NET Framework (1.0 - 4.8);RabbitMQ,,NuGet;Pip,,Automated testing;Observability tools;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Other:,Fintech,5.0
"Developer, embedded applications or devices",126000000.0,Bash/Shell (all shells);C++;Python,Bash/Shell (all shells);C++;Python,,,,,,,CMake;GNU GCC;LLVM's Clang,CMake;GNU GCC;LLVM's Clang,,,Docker;Kubernetes;Make,Docker;Kubernetes;Make,DevOps function;Automated testing;Knowledge sharing community;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,On-prem,Traditional public search engine,"Transportation, or Supply Chain",5.0
"Developer, back-end",76128000.0,Go;Python,Go;Python;TypeScript,Dynamodb;PostgreSQL,Dynamodb;MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS);Digital Ocean,FastAPI,FastAPI;Node.js,,,,,Docker,Docker,DevOps function;Automated testing;Knowledge sharing community;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,8.0
"Developer, embedded applications or devices",118500000.0,C;C++;Python,C++;Python,,,Microsoft Azure,Microsoft Azure,,,CMake;GNU GCC,CMake;GNU GCC,,,Chocolatey,,DevOps function;Automated testing;Continuous integration (CI) and (more often) continuous delivery,,A coworker,Manufacturing,7.0
Blockchain,98640000.0,Dart;Go;JavaScript;Rust;TypeScript,JavaScript;Rust;TypeScript,MongoDB;PostgreSQL;SQLite,MongoDB;PostgreSQL;SQLite,Amazon Web Services (AWS);Vercel,Amazon Web Services (AWS);Vercel,NestJS;Next.js;Node.js;React,Next.js;React;Svelte,,,Flutter;React Native,,Docker;Gradle;Kubernetes;Maven (build tool);npm;Pip;pnpm;Yarn,Bun;pnpm,DevOps function;Automated testing,Cloud only (single or multi-cloud),A coworker,Fintech,7.0
